POINT_1_STREET,DURATION_IN_SEC,POINT_1_NAME,POINT_1_CITY,POINT_2_NAME,POINT_2_LNG,POINT_2_STREET,NDT_IN_KMH,POINT_2_POSTAL_CODE,POINT_2_COUNTRY,POINT_1_STREET_NUMBER,ORGANISATION,POINT_1_LAT,POINT_2_LAT,POINT_1_POSTAL_CODE,POINT_2_STREET_NUMBER,POINT_2_CITY,extID,ROAD_TYPE,POINT_1_LNG,REPORT_ID,POINT_1_COUNTRY,DISTANCE_IN_METERS,REPORT_NAME,RBA_ID,_id
Vestre Ringgade,64,3193,Aarhus,3156,10.187763760747885,Viborgvej,41,8000,Denmark,53,COWI,56.163969409207326,56.159418709313904,8210,14,Aarhus,341,MAJOR_ROAD,10.185844404928275,187960,Denmark,737,AAR_BT_0248 3193 3156,189736,1748
Viborgvej,74,4335,Tilst,4347,10.096344851520598,Viborgvej,54,8381,Denmark,389,COWI,56.182637286706964,56.18546282170713,8381,389,Tilst,426,MAJOR_ROAD,10.113531440475526,193348,Denmark,1110,AAR_BT_0346 4335 4347,229136,1833
Viborgvej,73,4335,Tilst,4342,10.130153804893553,Viborgvej,54,8210,Denmark,389,COWI,56.182637286706964,56.17941549701764,8381,295,Aarhus,427,MAJOR_ROAD,10.113531440475526,193376,Denmark,1093,AAR_BT_0347 4335 4342,229138,1834
Christian X's Vej,71,4566,Aarhus,4373,10.179336344162948,Skanderborgvej,39,8260,Denmark,35,COWI,56.13241046310714,56.138322977998705,8260,107,Aarhus,593,MAJOR_ROAD,10.174677478504236,209801,Denmark,773,AAR_BT_0513 4566 4373,229651,2000
Lystrupvej,94,4346,Lystrup,4327,10.246299305557386,Djurslandmotorvejen,52,8520,Denmark,201,COWI,56.21728389714838,56.22521120818609,8520,201,Lystrup,595,MAJOR_ROAD,10.233619432540877,209854,Denmark,1358,AAR_BT_0515 4346 4327,229655,2002
Djurslandmotorvejen,118,4327,Lystrup,4346,10.233619432540877,Lystrupvej,49,8520,Denmark,0,COWI,56.22537224883195,56.21728389714838,8520,201,Lystrup,596,MAJOR_ROAD,10.246154466270468,209880,Denmark,1595,AAR_BT_0516 4327 4346,229657,2003
Vejlby Centervej,226,4564,Risskov,4361,10.191119927578029,Randersvej,36,8200,Denmark,7,COWI,56.196878435033454,56.18958131478287,8240,210,Aarhus,603,MAJOR_ROAD,10.216251775463206,210067,Denmark,2270,AAR_BT_0525 4564 4361,229671,2010
Søftenvej,79,4349,Aarhus,4364,10.13978019262504,Søftenvej,71,8200,Denmark,0,COWI,56.20869704245814,56.21508593264829,8200,0,Aarhus,180,MAJOR_ROAD,10.161186577298167,158924,Denmark,1555,AAR_BT_0021 4349 4364,161115,1587
Åby Ringvej,101,2654,Aarhus,2653,10.149694601188685,Viby Ringvej,52,8230,Denmark,0,COWI,56.1601908856982,56.148158423711955,8230,0,Aarhus,225,MAJOR_ROAD,10.143257948409996,180601,Denmark,1462,AAR_BT_0132 2654 2653,182198,1632
Nordre Ringgade,43,3191,Aarhus,3192,10.194338714120931,Vestre Ringgade,40,8200,Denmark,3,COWI,56.17122707649042,56.16945046812791,8000,61,Aarhus,235,MAJOR_ROAD,10.201380373016264,180872,Denmark,481,AAR_BT_0142 3191 3192,182218,1642
Nørreport,58,4374,Aarhus,3187,10.215389695770227,Kystvejen,23,8000,Denmark,93,COWI,56.161017815103236,56.161597269074186,8000,59,Aarhus,357,MAJOR_ROAD,10.21197608217426,190047,Denmark,366,AAR_BT_0264 4374 3187,192340,1764
Grenåvej,244,4357,Ega,4341,10.303667644180337,Grenåvej,46,8541,Denmark,534,COWI,56.229971546821645,56.25625595964834,8250,0,Skødstrup,370,MAJOR_ROAD,10.293955058860774,190393,Denmark,3115,AAR_BT_0278 4357 4341,192366,1777
Randersvej,80,4361,Aarhus,4362,10.182444749668093,Randersvej,54,8200,Denmark,210,COWI,56.18958131478287,56.19922307868954,8200,210,Aarhus,398,MAJOR_ROAD,10.191119927578029,192600,Denmark,1204,AAR_BT_0314 4361 4362,229080,1805
Vestre Strandalle,89,4351,Risskov,2661,10.212341355819717,Vejlby Ringvej,31,8240,Denmark,70A,COWI,56.190387445286476,56.187071255964284,8240,70A,Risskov,401,MAJOR_ROAD,10.223110775463056,192681,Denmark,763,AAR_BT_0317 4351 2661,229086,1808
Grenåvej,76,4572,Risskov,4564,10.216251775463206,Vejlby Centervej,40,8240,Denmark,0,COWI,56.19774431284465,56.196878435033454,8240,7,Risskov,414,MAJOR_ROAD,10.228593618385275,193026,Denmark,854,AAR_BT_0334 4572 4564,229112,1821
